SMILES,targets
CCOC(=O)N(CC(CC(C)C)/N=C/c1ccc(C(C)=O)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/c1ccc(O)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/c1cccc(OC)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/c1ccncc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(CC(C)C)/N=C/c1ccc(C)nc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/c1cc(C)on1)C[Si](C)(C)C,0
CCOC(=O)N(CC(CC(C)C)/N=C/C(CC)CC)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/C(C)CC)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/C1CCOC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/C1CCOCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)cc1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C(C)=O)cc1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(O)cc1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccncc1)C1CCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(C)nc1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C1CCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C1CCOC1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOCC1)C1CCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)cc1)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C(C)=O)cc1)C1CCCCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(O)cc1)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccncc1)C1CCCCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C1CCCCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1nccs1)C1CCCCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C(CC)CC)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(C)CC)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOC1)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOCC1)C1CCCCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)cc1)C1CCOCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C(C)=O)cc1)C1CCOCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(O)cc1)C1CCOCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C1CCOCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccncc1)C1CCOCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(C)nc1)C1CCOCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C1CCOCC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C(CC)CC)C1CCOCC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(C)CC)C1CCOCC1)C[Si](C)(C)C,1
